compound,intended_node,schedule,schedule_definition,endpoint,endpoint_class,what_it_reports,why_it_is_here,sampling,replicate_unit,status
VISMODEGIB,SMO,continuous,compound present for the whole culture period,pathway_engagement_primary,engagement,target-engagement decay,"**the measurement that makes the rest interpretable.** Stage 69 found residence time is unknown for all five compounds. If engagement is still present at the plateau, 'durable after washout' means 'the drug is still bound', which is a pharmacokinetic statement, not a biological one","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,continuous,compound present for the whole culture period,terminal_zone_compound_concentration_nM,exposure,compound clearance from the tissue,paired with the engagement decay; cartilage is a depot and a compound that partitions into matrix can persist long after the medium is clean,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,continuous,compound present for the whole culture period,daily_absolute_elongation_um,growth,recovery growth rate,an accelerate-then-collapse trajectory shows up here and nowhere else,daily,"animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,continuous,compound present for the whole culture period,active_columns_per_section,output,productive column preservation,the term that a borrowed-growth compound has already spent,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,continuous,compound present for the whole culture period,edu_positive_fraction,cost,proliferative pool at plateau,"measured at plateau, not at the end of treatment - the pool can look fine on day 4 and be exhausted on day 12","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,continuous,compound present for the whole culture period,tunel_positive_fraction,cost,delayed death,a delayed survival defect,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,continuous,compound present for the whole culture period,col10a1_extracellular_area_fraction,matrix,delayed matrix defect,matrix deficits appear later than the cells that failed to make it,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,continuous,compound present for the whole culture period,acan_area_fraction,matrix,delayed proteoglycan defect,same,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,continuous,compound present for the whole culture period,appositional_width_um,confound,widening at plateau,a compound can widen the bone only after the length gain has stopped,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,continuous,compound present for the whole culture period,plateau_length_um,PRIMARY,the endpoint the project is about,"measured per explant once its own daily elongation falls below 10% of its own peak, not at a fixed day","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",axial_height_to_width_ratio,geometry,persistence of the shape after washout,"if the ratio returns to vehicle the moment the compound leaves, the shape was a state and not a programme","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",terminal_cell_volume_um3,geometry,swelling decay,"a swelling state reverses within hours of washout; a remodelling programme does not, and the two are indistinguishable during exposure","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",pathway_engagement_primary,engagement,target-engagement decay,"**the measurement that makes the rest interpretable.** Stage 69 found residence time is unknown for all five compounds. If engagement is still present at the plateau, 'durable after washout' means 'the drug is still bound', which is a pharmacokinetic statement, not a biological one","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",terminal_zone_compound_concentration_nM,exposure,compound clearance from the tissue,paired with the engagement decay; cartilage is a depot and a compound that partitions into matrix can persist long after the medium is clean,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",daily_absolute_elongation_um,growth,recovery growth rate,an accelerate-then-collapse trajectory shows up here and nowhere else,daily,"animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",active_columns_per_section,output,productive column preservation,the term that a borrowed-growth compound has already spent,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",edu_positive_fraction,cost,proliferative pool at plateau,"measured at plateau, not at the end of treatment - the pool can look fine on day 4 and be exhausted on day 12","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",tunel_positive_fraction,cost,delayed death,a delayed survival defect,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",col10a1_extracellular_area_fraction,matrix,delayed matrix defect,matrix deficits appear later than the cells that failed to make it,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",acan_area_fraction,matrix,delayed proteoglycan defect,same,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",appositional_width_um,confound,widening at plateau,a compound can widen the bone only after the length gain has stopped,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",plateau_length_um,PRIMARY,the endpoint the project is about,"measured per explant once its own daily elongation falls below 10% of its own peak, not at a fixed day","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,axial_height_to_width_ratio,geometry,persistence of the shape after washout,"if the ratio returns to vehicle the moment the compound leaves, the shape was a state and not a programme","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,terminal_cell_volume_um3,geometry,swelling decay,"a swelling state reverses within hours of washout; a remodelling programme does not, and the two are indistinguishable during exposure","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,pathway_engagement_primary,engagement,target-engagement decay,"**the measurement that makes the rest interpretable.** Stage 69 found residence time is unknown for all five compounds. If engagement is still present at the plateau, 'durable after washout' means 'the drug is still bound', which is a pharmacokinetic statement, not a biological one","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,terminal_zone_compound_concentration_nM,exposure,compound clearance from the tissue,paired with the engagement decay; cartilage is a depot and a compound that partitions into matrix can persist long after the medium is clean,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,daily_absolute_elongation_um,growth,recovery growth rate,an accelerate-then-collapse trajectory shows up here and nowhere else,daily,"animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,active_columns_per_section,output,productive column preservation,the term that a borrowed-growth compound has already spent,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,edu_positive_fraction,cost,proliferative pool at plateau,"measured at plateau, not at the end of treatment - the pool can look fine on day 4 and be exhausted on day 12","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,tunel_positive_fraction,cost,delayed death,a delayed survival defect,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,col10a1_extracellular_area_fraction,matrix,delayed matrix defect,matrix deficits appear later than the cells that failed to make it,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,acan_area_fraction,matrix,delayed proteoglycan defect,same,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,appositional_width_um,confound,widening at plateau,a compound can widen the bone only after the length gain has stopped,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,intermittent,repeated short exposures separated by compound-free intervals,plateau_length_um,PRIMARY,the endpoint the project is about,"measured per explant once its own daily elongation falls below 10% of its own peak, not at a fixed day","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,axial_height_to_width_ratio,geometry,persistence of the shape after washout,"if the ratio returns to vehicle the moment the compound leaves, the shape was a state and not a programme","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,terminal_cell_volume_um3,geometry,swelling decay,"a swelling state reverses within hours of washout; a remodelling programme does not, and the two are indistinguishable during exposure","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,pathway_engagement_primary,engagement,target-engagement decay,"**the measurement that makes the rest interpretable.** Stage 69 found residence time is unknown for all five compounds. If engagement is still present at the plateau, 'durable after washout' means 'the drug is still bound', which is a pharmacokinetic statement, not a biological one","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,terminal_zone_compound_concentration_nM,exposure,compound clearance from the tissue,paired with the engagement decay; cartilage is a depot and a compound that partitions into matrix can persist long after the medium is clean,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,daily_absolute_elongation_um,growth,recovery growth rate,an accelerate-then-collapse trajectory shows up here and nowhere else,daily,"animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,active_columns_per_section,output,productive column preservation,the term that a borrowed-growth compound has already spent,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,edu_positive_fraction,cost,proliferative pool at plateau,"measured at plateau, not at the end of treatment - the pool can look fine on day 4 and be exhausted on day 12","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,tunel_positive_fraction,cost,delayed death,a delayed survival defect,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,col10a1_extracellular_area_fraction,matrix,delayed matrix defect,matrix deficits appear later than the cells that failed to make it,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,acan_area_fraction,matrix,delayed proteoglycan defect,same,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,appositional_width_um,confound,widening at plateau,a compound can widen the bone only after the length gain has stopped,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
VISMODEGIB,SMO,"vehicle, matched schedule",vehicle following each of the three schedules above,plateau_length_um,PRIMARY,the endpoint the project is about,"measured per explant once its own daily elongation falls below 10% of its own peak, not at a fixed day","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,axial_height_to_width_ratio,geometry,persistence of the shape after washout,"if the ratio returns to vehicle the moment the compound leaves, the shape was a state and not a programme","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,terminal_cell_volume_um3,geometry,swelling decay,"a swelling state reverses within hours of washout; a remodelling programme does not, and the two are indistinguishable during exposure","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,pathway_engagement_primary,engagement,target-engagement decay,"**the measurement that makes the rest interpretable.** Stage 69 found residence time is unknown for all five compounds. If engagement is still present at the plateau, 'durable after washout' means 'the drug is still bound', which is a pharmacokinetic statement, not a biological one","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,terminal_zone_compound_concentration_nM,exposure,compound clearance from the tissue,paired with the engagement decay; cartilage is a depot and a compound that partitions into matrix can persist long after the medium is clean,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,daily_absolute_elongation_um,growth,recovery growth rate,an accelerate-then-collapse trajectory shows up here and nowhere else,daily,"animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,active_columns_per_section,output,productive column preservation,the term that a borrowed-growth compound has already spent,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,edu_positive_fraction,cost,proliferative pool at plateau,"measured at plateau, not at the end of treatment - the pool can look fine on day 4 and be exhausted on day 12","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,tunel_positive_fraction,cost,delayed death,a delayed survival defect,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,col10a1_extracellular_area_fraction,matrix,delayed matrix defect,matrix deficits appear later than the cells that failed to make it,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,acan_area_fraction,matrix,delayed proteoglycan defect,same,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,appositional_width_um,confound,widening at plateau,a compound can widen the bone only after the length gain has stopped,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,continuous,compound present for the whole culture period,plateau_length_um,PRIMARY,the endpoint the project is about,"measured per explant once its own daily elongation falls below 10% of its own peak, not at a fixed day","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",axial_height_to_width_ratio,geometry,persistence of the shape after washout,"if the ratio returns to vehicle the moment the compound leaves, the shape was a state and not a programme","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",terminal_cell_volume_um3,geometry,swelling decay,"a swelling state reverses within hours of washout; a remodelling programme does not, and the two are indistinguishable during exposure","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",pathway_engagement_primary,engagement,target-engagement decay,"**the measurement that makes the rest interpretable.** Stage 69 found residence time is unknown for all five compounds. If engagement is still present at the plateau, 'durable after washout' means 'the drug is still bound', which is a pharmacokinetic statement, not a biological one","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",terminal_zone_compound_concentration_nM,exposure,compound clearance from the tissue,paired with the engagement decay; cartilage is a depot and a compound that partitions into matrix can persist long after the medium is clean,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",daily_absolute_elongation_um,growth,recovery growth rate,an accelerate-then-collapse trajectory shows up here and nowhere else,daily,"animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",active_columns_per_section,output,productive column preservation,the term that a borrowed-growth compound has already spent,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",edu_positive_fraction,cost,proliferative pool at plateau,"measured at plateau, not at the end of treatment - the pool can look fine on day 4 and be exhausted on day 12","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",tunel_positive_fraction,cost,delayed death,a delayed survival defect,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",col10a1_extracellular_area_fraction,matrix,delayed matrix defect,matrix deficits appear later than the cells that failed to make it,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",acan_area_fraction,matrix,delayed proteoglycan defect,same,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",appositional_width_um,confound,widening at plateau,a compound can widen the bone only after the length gain has stopped,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,pulse-washout,"compound for a short defined window, then complete medium change and compound-free culture to plateau",plateau_length_um,PRIMARY,the endpoint the project is about,"measured per explant once its own daily elongation falls below 10% of its own peak, not at a fixed day","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,axial_height_to_width_ratio,geometry,persistence of the shape after washout,"if the ratio returns to vehicle the moment the compound leaves, the shape was a state and not a programme","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,terminal_cell_volume_um3,geometry,swelling decay,"a swelling state reverses within hours of washout; a remodelling programme does not, and the two are indistinguishable during exposure","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,pathway_engagement_primary,engagement,target-engagement decay,"**the measurement that makes the rest interpretable.** Stage 69 found residence time is unknown for all five compounds. If engagement is still present at the plateau, 'durable after washout' means 'the drug is still bound', which is a pharmacokinetic statement, not a biological one","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,terminal_zone_compound_concentration_nM,exposure,compound clearance from the tissue,paired with the engagement decay; cartilage is a depot and a compound that partitions into matrix can persist long after the medium is clean,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,daily_absolute_elongation_um,growth,recovery growth rate,an accelerate-then-collapse trajectory shows up here and nowhere else,daily,"animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,active_columns_per_section,output,productive column preservation,the term that a borrowed-growth compound has already spent,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,edu_positive_fraction,cost,proliferative pool at plateau,"measured at plateau, not at the end of treatment - the pool can look fine on day 4 and be exhausted on day 12","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,tunel_positive_fraction,cost,delayed death,a delayed survival defect,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,col10a1_extracellular_area_fraction,matrix,delayed matrix defect,matrix deficits appear later than the cells that failed to make it,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,acan_area_fraction,matrix,delayed proteoglycan defect,same,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,appositional_width_um,confound,widening at plateau,a compound can widen the bone only after the length gain has stopped,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,intermittent,repeated short exposures separated by compound-free intervals,plateau_length_um,PRIMARY,the endpoint the project is about,"measured per explant once its own daily elongation falls below 10% of its own peak, not at a fixed day","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,axial_height_to_width_ratio,geometry,persistence of the shape after washout,"if the ratio returns to vehicle the moment the compound leaves, the shape was a state and not a programme","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,terminal_cell_volume_um3,geometry,swelling decay,"a swelling state reverses within hours of washout; a remodelling programme does not, and the two are indistinguishable during exposure","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,pathway_engagement_primary,engagement,target-engagement decay,"**the measurement that makes the rest interpretable.** Stage 69 found residence time is unknown for all five compounds. If engagement is still present at the plateau, 'durable after washout' means 'the drug is still bound', which is a pharmacokinetic statement, not a biological one","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,terminal_zone_compound_concentration_nM,exposure,compound clearance from the tissue,paired with the engagement decay; cartilage is a depot and a compound that partitions into matrix can persist long after the medium is clean,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,daily_absolute_elongation_um,growth,recovery growth rate,an accelerate-then-collapse trajectory shows up here and nowhere else,daily,"animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,active_columns_per_section,output,productive column preservation,the term that a borrowed-growth compound has already spent,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,edu_positive_fraction,cost,proliferative pool at plateau,"measured at plateau, not at the end of treatment - the pool can look fine on day 4 and be exhausted on day 12","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,tunel_positive_fraction,cost,delayed death,a delayed survival defect,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,col10a1_extracellular_area_fraction,matrix,delayed matrix defect,matrix deficits appear later than the cells that failed to make it,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,acan_area_fraction,matrix,delayed proteoglycan defect,same,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,appositional_width_um,confound,widening at plateau,a compound can widen the bone only after the length gain has stopped,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
LX-7101,LIMK,"vehicle, matched schedule",vehicle following each of the three schedules above,plateau_length_um,PRIMARY,the endpoint the project is about,"measured per explant once its own daily elongation falls below 10% of its own peak, not at a fixed day","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
BOSUTINIB,SRC,continuous,compound present for the whole culture period,axial_height_to_width_ratio,geometry,persistence of the shape after washout,"if the ratio returns to vehicle the moment the compound leaves, the shape was a state and not a programme","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
BOSUTINIB,SRC,continuous,compound present for the whole culture period,terminal_cell_volume_um3,geometry,swelling decay,"a swelling state reverses within hours of washout; a remodelling programme does not, and the two are indistinguishable during exposure","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
BOSUTINIB,SRC,continuous,compound present for the whole culture period,pathway_engagement_primary,engagement,target-engagement decay,"**the measurement that makes the rest interpretable.** Stage 69 found residence time is unknown for all five compounds. If engagement is still present at the plateau, 'durable after washout' means 'the drug is still bound', which is a pharmacokinetic statement, not a biological one","end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
BOSUTINIB,SRC,continuous,compound present for the whole culture period,terminal_zone_compound_concentration_nM,exposure,compound clearance from the tissue,paired with the engagement decay; cartilage is a depot and a compound that partitions into matrix can persist long after the medium is clean,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
BOSUTINIB,SRC,continuous,compound present for the whole culture period,daily_absolute_elongation_um,growth,recovery growth rate,an accelerate-then-collapse trajectory shows up here and nowhere else,daily,"animal (bones nested in animal, animals in litter)",NOT YET MEASURED
BOSUTINIB,SRC,continuous,compound present for the whole culture period,active_columns_per_section,output,productive column preservation,the term that a borrowed-growth compound has already spent,"end of exposure, mid-washout, and at plateau","animal (bones nested in animal, animals in litter)",NOT YET MEASURED
