variant,category,rationale,predicted_risk,predicted_stc2_resistance,predicted_activity,assay_order,assay,method,assay_required,assay_note,measured,status
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
Y1566A,noncovalent-interface,removes part of the hydrophobic pocket that receives STC2 V63,HIGH - the pocket sits in the C domain exosite that IGFBP-4 also binds; substrate recognition may be lost with the inhibitor,possible reduction in noncovalent affinity,AT RISK - must be measured on intact IGFBP-4,12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
K1592A,noncovalent-interface,second pocket residue; tests whether the pocket can be degraded stepwise,HIGH - same exosite overlap,possible reduction,AT RISK,12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
T1594A,noncovalent-interface,third pocket residue,HIGH - same exosite overlap,possible reduction,AT RISK,12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
C732A + Y1566A,combined escape,the only combination with a mechanistic reason: remove the covalent link AND degrade the noncovalent pocket,HIGHEST - stacks the substrate-recognition risk on top of the covalent escape,the best chance of genuine resistance,"AT RISK - this is the variant most likely to be STC2-resistant AND dead, which is why intact-substrate cleavage is the primary readout",12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",11,GAG binding,heparin affinity or cell-surface binding,True,localisation to the cell surface is where the enzyme does its job,False,PREDICTION ONLY - not measured
LNR3 Ca2+-site substitution,noncovalent-interface,removing Ca2+ from LNR3 is reported to diminish STC2 binding,PREDICTED TO FAIL for a different reason: LNR Ca2+ disruption is separately reported to cause complete loss of proteolytic activity toward IGFBP-4 while leaving IGFBP-5 cleavage unaffected. The handle that loosens STC2 also removes the activity we want,reduced binding,"PREDICTED DEAD toward IGFBP-4, retained toward IGFBP-5",12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,1,cleavage of INTACT IGFBP-4,radiolabelled or immunoblot assay on full-length IGFBP-4,True,THE gating assay. The PAPP-A-STC2 complex is completely inactive toward intact IGFBP-4 while still cleaving a 26-residue peptide spanning the scissile bond - so a peptide assay would score an inhibited enzyme as active. The brief's rule that C732A may not be called active until intact-substrate cleavage is measured is this assay.,False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,2,cleavage of a short peptide substrate,"intramolecular quenched fluorescence, 26-mer spanning the scissile bond",True,"run alongside assay 1, NOT instead of it. The DIFFERENCE between the two is the readout for exosite inhibition",False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,3,secretion and folding,"conditioned-medium yield, SDS-PAGE, size-exclusion profile",True,a variant that does not fold is not a negative result about STC2,False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,4,dimerisation,non-reducing SDS-PAGE for the covalent homodimer,True,"PAPP-A is a disulfide-linked homodimer; a cysteine substitution could disturb it, and monomeric enzyme is a different protein",False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,5,STC2 complex formation - covalent,non-reducing SDS-PAGE for the covalent PAPP-A-STC2 species,True,the direct test of covalent escape,False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,6,STC2 inhibition - kinetic,initial-velocity inhibition of intact IGFBP-4 cleavage across STC2 concentrations; determine whether inhibition is competitive and its potency,True,THE decisive experiment for this stage. Covalent escape without kinetic escape is not resistance,False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,7,cleavage of IGFBP-5,as assay 1 with IGFBP-5,True,separates general catalytic damage from IGFBP-4-specific damage; LNR disruption is reported to do exactly this,False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,8,IGF-dependent substrate recognition,IGFBP-4 cleavage plus or minus IGF,True,"PAPP-A cleavage of IGFBP-4 is IGF-dependent; losing that dependence is a change in the enzyme's regulation, not just its rate",False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,9,STC1 inhibition,as assay 6 with STC1,True,STC1 is the other endogenous inhibitor and lacks the STC2 C120 counterpart; a variant that escapes STC2 may remain fully STC1-inhibited,False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,10,proMBP inhibition,as assay 6 with proMBP,True,proMBP inhibits by a different mechanism - proMBP-inhibited PAPP-A cannot cleave even the 26-residue peptide - so it is an independent check,False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,11,GAG binding,heparin affinity or cell-surface binding,True,the primary readout for this variant,False,PREDICTION ONLY - not measured
SCR3-4 GAG-binding substitution,localisation probe,not an escape variant; tests whether cell-surface tethering is required for the effect in tissue,"loses localisation, which may matter more in a growth plate than in solution",none expected,expected intact in solution,12,IGF1R phosphorylation,"p-IGF1R in a responsive cell line, with and without IGFBP-4",True,the functional consequence: does released IGF actually signal,False,PREDICTION ONLY - not measured
