mouse_gene,human_gene,priority_rank,priority_reason,pmid,doi,pmcid,title,journal,year,cited_by,gene_in_title,method_in_abstract,zone_in_abstract,why_this_record,url
Ptch1,PTCH1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37767814,10.1093/neuonc/noad191,PMC10995518,Intraventricular SHH inhibition proves efficient in SHH medulloblastoma mouse model and prevents systemic side effects.,Neuro-oncology,2024,6,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1093/neuonc/noad191
Runx2,RUNX2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,35938533,10.1080/15384101.2022.2109106,PMC9769450,Blocking circadian clock factor Rev-erbα inhibits growth plate chondrogenesis via up-regulating MAPK-ERK1/2 pathway.,"Cell cycle (Georgetown, Tex.)",2023,5,False,,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.1080/15384101.2022.2109106
Hdac5,HDAC5,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,32422296,10.1016/j.bone.2020.115434,PMC7387102,"Transcriptional, epigenetic and microRNA regulation of growth plate.",Bone,2020,5,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2020.115434
Hdac5,HDAC5,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,33000215,10.3892/mmr.2020.11465,PMC8369256,Histone deacetylase 4 deletion results in abnormal chondrocyte hypertrophy and premature ossification from collagen type 2α1‑expressing cells.,Molecular medicine reports,2020,5,False,in situ hybridization; immunohistochemistry,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.3892/mmr.2020.11465
Ezh2,EZH2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,38522809,10.1016/j.bone.2024.117085,PMC11057337,Skeletal abnormalities in mice with Dnmt3a missense mutations.,Bone,2024,4,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2024.117085
Brd4,,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,35393537,10.1038/s41431-021-01025-2,PMC9063674,Abstracts from the 54<sup>th</sup> European Society of Human Genetics (ESHG) Conference: Oral Presentations.,European journal of human genetics : EJHG,2022,3,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/s41431-021-01025-2
Runx2,RUNX2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,41308124,10.1126/science.adx6649,PMC13127300,Inhibition of 15-hydroxy prostaglandin dehydrogenase promotes cartilage regeneration.,"Science (New York, N.Y.)",2026,2,False,immunofluorescence,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1126/science.adx6649
Ptch1,PTCH1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,38836497,10.1093/jbmr/zjae086,PMC11337578,The role of GDF5 in regulating enthesopathy development in the Hyp mouse model of XLH.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2024,2,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1093/jbmr/zjae086
Acvr1,ACVR1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,40516669,10.1016/j.bone.2025.117565,PMC12332771,A new BMP type 1 receptor kinase inhibitor for safe and efficient oral treatment to prevent genetically induced heterotopic ossification in mice.,Bone,2025,2,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2025.117565
Acvr1,ACVR1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,38836497,10.1093/jbmr/zjae086,PMC11337578,The role of GDF5 in regulating enthesopathy development in the Hyp mouse model of XLH.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2024,2,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1093/jbmr/zjae086
Cd200,CD200,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,41308124,10.1126/science.adx6649,PMC13127300,Inhibition of 15-hydroxy prostaglandin dehydrogenase promotes cartilage regeneration.,"Science (New York, N.Y.)",2026,2,False,immunofluorescence,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1126/science.adx6649
Sox9,SOX9,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,41051362,10.1093/jbmr/zjaf140,PMC12861122,Neural crest-specific disruption of Evc2 provides an animal model to study the temporomandibular joint development and homeostasis in response to jaw loading.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2026,1,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1093/jbmr/zjaf140
Ptch1,PTCH1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,41051362,10.1093/jbmr/zjaf140,PMC12861122,Neural crest-specific disruption of Evc2 provides an animal model to study the temporomandibular joint development and homeostasis in response to jaw loading.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2026,1,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1093/jbmr/zjaf140
Sox9,SOX9,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,42070715,10.1016/j.bone.2026.117913,PMC13234693,Progenitors from distinct perichondrium layers initiate tumor formation in hereditary multiple osteochondromas as revealed in a mouse model.,Bone,2026,0,False,lineage tracing,perichondrial,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2026.117913
Sox9,SOX9,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,42163866,10.62347/evwj6469,PMC13184759,COL10A1 beyond skeletal development: a hypertrophic chondrocyte-specific collagen emerging as a potential biomarker and tumor microenvironment regulator in solid cancers.,American journal of cancer research,2026,0,False,,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.62347/evwj6469
Sox9,SOX9,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,42143563,10.1002/jor.70226,PMC13251765,Identification of a Tenochondral Ossification Sequence Producing Heterotopic Ossification in Human Achilles Tendinopathy.,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,2026,0,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jor.70226
Runx2,RUNX2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,42143563,10.1002/jor.70226,PMC13251765,Identification of a Tenochondral Ossification Sequence Producing Heterotopic Ossification in Human Achilles Tendinopathy.,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,2026,0,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jor.70226
Runx2,RUNX2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,41562138,10.1177/10406387251410629,PMC12823371,Missense mutation of &lt;i&gt;BMP1&lt;/i&gt; may cause feline osteogenesis imperfecta without bone deformity.,"Journal of veterinary diagnostic investigation : official publication of the American Association of Veterinary Laboratory Diagnosticians, Inc",2026,0,False,immunohistochemistry,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1177/10406387251410629
Runx2,RUNX2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,42163866,10.62347/evwj6469,PMC13184759,COL10A1 beyond skeletal development: a hypertrophic chondrocyte-specific collagen emerging as a potential biomarker and tumor microenvironment regulator in solid cancers.,American journal of cancer research,2026,0,False,,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.62347/evwj6469
Runx2,RUNX2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,,10.22541/au.175203970.01284783/v1,,Impact of Depression on Long Bone Growth and Bone Mass in Adolescent Rats: Insights into the SOX9 Regulatory Mechanism,,2025,0,False,immunohistochemistry,,closed-access record matching gene x growth-plate x method,https://doi.org/10.22541/au.175203970.01284783/v1
Ptch1,PTCH1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,39589737,10.5435/jaaos-d-24-00996,PMC11753257,The 2024 Kappa Delta Young Investigator Award: Leveraging Insights From Development to Improve Adult Repair: Hedgehog Signaling as a Master Regulator of Enthesis Fibrocartilage Formation.,The Journal of the American Academy of Orthopaedic Surgeons,2024,0,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.5435/jaaos-d-24-00996
Foxc1,FOXC1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,40713978,10.1016/j.ajpath.2025.07.006,PMC12597460,miR-204-5p Mitigates Disc Degeneration via SKI-Mediated Modulation of Apoptotic Signaling and Matrix Remodeling in Nucleus Pulposus.,The American journal of pathology,2025,0,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.ajpath.2025.07.006
Tsc2,TSC2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,42095886,10.1080/17512433.2026.2671269,PMC13244271,"Osteoarthritis and dementia: contrasting disorders driven by mutual pathways of autophagy, mTOR, GLP-1, AMPK, Wnt, and WISP1.",Expert review of clinical pharmacology,2026,0,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1080/17512433.2026.2671269
Acvr1,ACVR1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,41797269,10.1177/00220345261423834,PMC13133980,Discoidin Domain Receptor 2 Is Required for Tooth Extraction Socket Healing.,Journal of dental research,2026,0,False,reporter mouse; lineage tracing,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1177/00220345261423834
Acvr1,ACVR1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,42143563,10.1002/jor.70226,PMC13251765,Identification of a Tenochondral Ossification Sequence Producing Heterotopic Ossification in Human Achilles Tendinopathy.,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,2026,0,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/jor.70226
Hdac5,HDAC5,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,40698544,10.1080/03008207.2025.2530045,,"Histone deacetylase 4 in limb mesenchyme is essential for chondrocyte proliferation, growth plate maintenance and proper bone formation.",Connective tissue research,2025,0,False,immunohistochemistry; lineage tracing,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1080/03008207.2025.2530045
Cd200,CD200,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,40936016,10.1007/s11914-025-00933-2,PMC12788188,Bone Marrow Adipoq-lineage Progenitors: an Emerging Osteoclast Niche Cell Population.,Current osteoporosis reports,2025,0,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1007/s11914-025-00933-2
Cd200,CD200,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,39945760,10.1093/stmcls/sxaf006,PMC11892563,Harnessing the diversity and potential of endogenous skeletal stem cells for musculoskeletal tissue regeneration.,"Stem cells (Dayton, Ohio)",2025,0,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1093/stmcls/sxaf006
Brd4,,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,,,PMC11696521,Abstracts,Cancer science,2025,0,False,,,closed-access record matching gene x growth-plate x method,https://pubmed.ncbi.nlm.nih.gov/None/
Itgb1,ITGB1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,42163866,10.62347/evwj6469,PMC13184759,COL10A1 beyond skeletal development: a hypertrophic chondrocyte-specific collagen emerging as a potential biomarker and tumor microenvironment regulator in solid cancers.,American journal of cancer research,2026,0,False,,hypertrophic,closed-access record matching gene x growth-plate x method,https://doi.org/10.62347/evwj6469
Ddit4,DDIT4,1,held at SPATIAL_VALIDATION_PENDING since stage 40; intact-tissue localization is the single experiment that resolves GATE 0,,,PMC11696521,Abstracts,Cancer science,2025,0,False,,,closed-access record matching gene x growth-plate x method,https://pubmed.ncbi.nlm.nih.gov/None/
Smurf2,SMURF2,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,18821706,10.1002/art.23946,PMC2636703,Induction of an osteoarthritis-like phenotype and degradation of phosphorylated Smad3 by Smurf2 in transgenic mice.,Arthritis and rheumatism,2008,97,True,in situ hybridization; immunohistochemistry,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1002/art.23946
Smad6,SMAD6,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,21681813,10.1002/jbmr.443,PMC3183270,Smad6 is essential to limit BMP signaling during cartilage development.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2011,60,True,,hypertrophic,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1002/jbmr.443
Smurf2,SMURF2,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,19481076,10.1016/j.yexcr.2009.05.019,PMC2720571,Smurf2 induces degradation of GSK-3beta and upregulates beta-catenin in chondrocytes: a potential mechanism for Smurf2-induced degeneration of articular cartilage.,Experimental cell research,2009,54,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1016/j.yexcr.2009.05.019
Gnas,GNAS,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,29158412,10.1073/pnas.1714313114,PMC5776978,Induced <i>Gnas</i><sup><i>R201H</i></sup> expression from the endogenous <i>Gnas</i> locus causes fibrous dysplasia by up-regulating Wnt/β-catenin signaling.,Proceedings of the National Academy of Sciences of the United States of America,2018,51,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1073/pnas.1714313114
Sufu,SUFU,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,29186568,10.1093/neuonc/nox228,PMC6280147,"Germline SUFU mutation carriers and medulloblastoma: clinical characteristics, cancer risk, and prognosis.",Neuro-oncology,2018,50,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1093/neuonc/nox228
Rbpj,RBPJ,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,23884446,10.1242/dev.098681,PMC3742139,Notch/Rbpjκ signaling regulates progenitor maintenance and differentiation of hypothalamic arcuate neurons.,"Development (Cambridge, England)",2013,47,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1242/dev.098681
Sufu,SUFU,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,21795282,10.1242/dev.069492,,Kif7 promotes hedgehog signaling in growth plate chondrocytes by restricting the inhibitory function of Sufu.,"Development (Cambridge, England)",2011,46,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1242/dev.069492
Ift52,IFT52,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,27466190,10.1093/hmg/ddw241,PMC5291235,"IFT52 mutations destabilize anterograde complex assembly, disrupt ciliogenesis and result in short rib polydactyly syndrome.",Human molecular genetics,2016,41,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1093/hmg/ddw241
Smurf2,SMURF2,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,18052755,10.1359/jbmr.071115,PMC2636709,Overexpression of Smurf2 stimulates endochondral ossification through upregulation of beta-catenin.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2008,28,True,in situ hybridization; immunohistochemistry; immunofluorescence,perichondrial,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1359/jbmr.071115
Sufu,SUFU,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,22930757,10.1074/jbc.m112.382275,PMC3476289,Suppressor of fused (Sufu) mediates the effect of parathyroid hormone-like hormone (Pthlh) on chondrocyte differentiation in the growth plate.,The Journal of biological chemistry,2012,13,True,,hypertrophic,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1074/jbc.m112.382275
Smurf2,SMURF2,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,18176945,10.1002/jor.20563,PMC2636972,Regulation of embryonic endochondral ossification by Smurf2.,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,2008,11,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1002/jor.20563
Unc5b,UNC5B,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,30645777,10.1002/jbmr.3667,PMC7105956,Lack of Myosin X Enhances Osteoclastogenesis and Increases Cell Surface Unc5b in Osteoclast-Lineage Cells.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2019,10,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1002/jbmr.3667
Prkar1a,PRKAR1A,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,26246497,10.1093/hmg/ddv320,PMC4599668,Haploinsufficiency for either one of the type-II regulatory subunits of protein kinase A improves the bone phenotype of Prkar1a+/- mice.,Human molecular genetics,2015,7,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1093/hmg/ddv320
Prkar1a,PRKAR1A,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,32821937,10.1093/hmg/ddaa178,PMC7566352,Prkar1a haploinsufficiency ameliorates the growth hormone excess phenotype in Aip-deficient mice.,Human molecular genetics,2020,2,True,immunohistochemistry,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1093/hmg/ddaa178
Traf3,TRAF3,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,10097072,10.1073/pnas.96.7.3540,PMC22329,Tumor necrosis factor receptor family member RANK mediates osteoclast differentiation and activation induced by osteoprotegerin ligand.,Proceedings of the National Academy of Sciences of the United States of America,1999,1136,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1073/pnas.96.7.3540
Traf3,TRAF3,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,10500098,10.1101/gad.13.18.2412,PMC317030,RANK is essential for osteoclast and lymph node development.,Genes & development,1999,1047,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1101/gad.13.18.2412
Unc5b,UNC5B,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,24647000,10.1038/nature13146,PMC4943529,Endothelial Notch activity promotes angiogenesis and osteogenesis in bone.,Nature,2014,807,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/nature13146
Rbpj,RBPJ,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,24647000,10.1038/nature13146,PMC4943529,Endothelial Notch activity promotes angiogenesis and osteogenesis in bone.,Nature,2014,807,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/nature13146
Traf3,TRAF3,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,10677500,10.1073/pnas.97.4.1566,PMC26475,RANK is the intrinsic hematopoietic cell surface receptor that controls osteoclastogenesis and regulation of bone mass and calcium metabolism.,Proceedings of the National Academy of Sciences of the United States of America,2000,784,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1073/pnas.97.4.1566
Glud1,GLUD2,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,28954853,10.1152/physrev.00007.2017,PMC6151493,Hippocampal GABAergic Inhibitory Interneurons.,Physiological reviews,2017,730,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1152/physrev.00007.2017
Bbc3,BBC3,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,25100529,10.1038/nm.3647,PMC4459580,Hematopoietic stem cell niche maintenance during homeostasis and regeneration.,Nature medicine,2014,610,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/nm.3647
Lgr4,LGR4,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,26367794,10.1038/nature14878,PMC4755714,Whole-genome sequencing identifies EN1 as a determinant of bone density and fracture.,Nature,2015,484,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/nature14878
Cbfb,CBFB,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,15107406,10.1101/gad.1174704,PMC395853,"Runx2 and Runx3 are essential for chondrocyte maturation, and Runx2 regulates limb growth through induction of Indian hedgehog.",Genes & development,2004,470,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1101/gad.1174704
Cop1,COP1,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,18775791,10.1016/j.biocel.2008.07.025,PMC2668982,Functions and mechanisms of action of CCN matricellular proteins.,The international journal of biochemistry & cell biology,2009,443,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.biocel.2008.07.025
Rbpj,RBPJ,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,27074508,10.1038/nature17638,PMC5035541,Age-dependent modulation of vascular niches for haematopoietic stem cells.,Nature,2016,402,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/nature17638
Gsk3b,GSK3B,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,14522949,10.1101/gad.277003,PMC218082,"Beta1 integrins regulate chondrocyte rotation, G1 progression, and cytokinesis.",Genes & development,2003,247,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1101/gad.277003
Commd5,COMMD5,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,26621707,10.1073/pnas.1510540112,PMC4687587,Neofunction of ACVR1 in fibrodysplasia ossificans progressiva.,Proceedings of the National Academy of Sciences of the United States of America,2015,243,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1073/pnas.1510540112
Fkbp1a,FKBP1A,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,26621707,10.1073/pnas.1510540112,PMC4687587,Neofunction of ACVR1 in fibrodysplasia ossificans progressiva.,Proceedings of the National Academy of Sciences of the United States of America,2015,243,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1073/pnas.1510540112
Suz12,SUZ12,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,27229140,10.1126/science.aae0065,PMC5460624,The histone H3.3K36M mutation reprograms the epigenome of chondroblastomas.,"Science (New York, N.Y.)",2016,221,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1126/science.aae0065
Strap,STRAP,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,22560526,10.1016/j.mayocp.2012.01.015,PMC3538469,Common musculoskeletal tumors of childhood and adolescence.,Mayo Clinic proceedings,2012,205,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.mayocp.2012.01.015
Bambi,BAMBI,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,33597301,10.1073/pnas.2019152118,PMC7923381,SOX9 keeps growth plates and articular cartilage healthy by inhibiting chondrocyte dedifferentiation/osteoblastic redifferentiation.,Proceedings of the National Academy of Sciences of the United States of America,2021,204,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1073/pnas.2019152118
Ckap2,CKAP2,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,9096144,10.1523/jneurosci.17-09-03096.1997,PMC6573667,Differential expression of connexins during neocortical development and neuronal circuit formation.,The Journal of neuroscience : the official journal of the Society for Neuroscience,1997,192,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1523/jneurosci.17-09-03096.1997
Cbfb,CBFB,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,19737917,10.1128/mcb.01549-08,PMC2772724,Extracellular signal-regulated kinase 1 (ERK1) and ERK2 play essential roles in osteoblast differentiation and in supporting osteoclastogenesis.,Molecular and cellular biology,2009,186,False,,perichondrial,closed-access record matching gene x growth-plate x method,https://doi.org/10.1128/mcb.01549-08
Rbpj,RBPJ,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,23319657,10.1073/pnas.1207458110,PMC3562777,Notch signaling in chondrocytes modulates endochondral ossification and osteoarthritis development.,Proceedings of the National Academy of Sciences of the United States of America,2013,169,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1073/pnas.1207458110
Myh9,MYH9,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,24001133,10.1089/thy.2013.0109,PMC3887458,American Thyroid Association Guide to investigating thyroid hormone economy and action in rodent and cell models.,Thyroid : official journal of the American Thyroid Association,2014,168,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1089/thy.2013.0109
Pax9,PAX9,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,12154128,10.1101/gad.1008002,PMC186419,Shh establishes an Nkx3.2/Sox9 autoregulatory loop that is maintained by BMP signals to induce somitic chondrogenesis.,Genes & development,2002,163,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1101/gad.1008002
Ptbp1,PTBP1,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,20620871,10.1016/j.neuron.2010.05.007,PMC2965850,Nova2 regulates neuronal migration through an RNA switch in disabled-1 signaling.,Neuron,2010,155,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.neuron.2010.05.007
Lgr4,LGR4,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,19605502,10.1242/dev.033571,PMC2730404,Regulation of bone formation and remodeling by G-protein-coupled receptor 48.,"Development (Cambridge, England)",2009,153,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1242/dev.033571
Ctbp1,CTBP1,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,22982179,10.1016/j.preteyeres.2012.08.004,PMC3679193,Role of the retinal vascular endothelial cell in ocular disease.,Progress in retinal and eye research,2013,145,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.preteyeres.2012.08.004
Suv39h1,SUV39H1,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,33571444,10.1016/j.stem.2021.01.010,PMC8178178,Loss of KDM4B exacerbates bone-fat imbalance and mesenchymal stromal cell exhaustion in skeletal aging.,Cell stem cell,2021,145,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.stem.2021.01.010
Eif3h,EIF3H,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,22982179,10.1016/j.preteyeres.2012.08.004,PMC3679193,Role of the retinal vascular endothelial cell in ocular disease.,Progress in retinal and eye research,2013,145,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.preteyeres.2012.08.004
Gcn1,GCN1,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,22982179,10.1016/j.preteyeres.2012.08.004,PMC3679193,Role of the retinal vascular endothelial cell in ocular disease.,Progress in retinal and eye research,2013,145,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.preteyeres.2012.08.004
Unc5b,UNC5B,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,34588693,10.1038/s41586-021-03929-x,PMC7612688,Blood and immune development in human fetal bone marrow and Down syndrome.,Nature,2021,140,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1038/s41586-021-03929-x
Cop1,COP1,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,15764706,10.1073/pnas.0406380102,PMC555473,Neutral sphingomyelinase 2 (smpd3) in the control of postnatal growth and development.,Proceedings of the National Academy of Sciences of the United States of America,2005,134,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1073/pnas.0406380102
Nedd4,NEDD4,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,15901248,10.1042/bj20050216,PMC1138946,Grb10 and Grb14: enigmatic regulators of insulin action--and more?,The Biochemical journal,2005,130,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1042/bj20050216
Chd8,CHD8,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,25195934,10.1002/ajmg.c.31416,PMC4405377,The role of BAF (mSWI/SNF) complexes in mammalian neural development.,"American journal of medical genetics. Part C, Seminars in medical genetics",2014,127,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/ajmg.c.31416
Suz12,SUZ12,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,25195934,10.1002/ajmg.c.31416,PMC4405377,The role of BAF (mSWI/SNF) complexes in mammalian neural development.,"American journal of medical genetics. Part C, Seminars in medical genetics",2014,127,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1002/ajmg.c.31416
Cbfb,CBFB,3,secondary-validated CRISPR evidence and no open-access intact-tissue record,19716455,10.1016/j.bone.2009.08.050,PMC2842447,Control of RANKL gene expression.,Bone,2010,126,False,,,closed-access record matching gene x growth-plate x method,https://doi.org/10.1016/j.bone.2009.08.050
