active_ingredient,source_type,pmid,pmcid,year,title,mentions_growth_effect,mentions_growth_harm,note
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),41278167,PMC12635762,2025,"Precision therapy guided by genotypic antibiotic resistance for &lt;i&gt;Helicobacter pylori&lt;/i&gt; eradication: A prospective, randomized controlled trial.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),40430549,PMC12114972,2025,"Real-World Safety Profile of Proton Pump Inhibitors in Infants as Reported in the FDA Adverse Event Reporting System (FAERS): Tiny Tummies, Key Decisions.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),39741655,PMC11686653,2024,Ten-day vonoprazan-amoxicillin dual therapy versus 14-day esomeprazole-amoxicillin dual therapy for first-line <i>Helicobacter pylori</i> eradication: a prospective multicenter randomized controlled trial.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),40625255,PMC12241910,2025,"Long-term Effects of Potassium-competitive Acid Blockers and Proton Pump Inhibitors on Gastrin, Gastric Emptying Rate, and Small Intestinal Microbiota in Rats.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
ESOMEPRAZOLE,regulatory / label-adjacent literature (Europe PMC),39803609,PMC11725257,2025,A Pharmacokinetic/Pharmacodynamic Study of Esomeprazole Comparing a Dual Delayed-Release Formulation (YYD601) to a Conventional Formulation Following Multiple Administrations in Healthy Adult Subjects.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LANADELUMAB-FLYO,regulatory / label-adjacent literature (Europe PMC),41075106,PMC12618362,2025,Therapeutic Advances in Hereditary Angioedema: A Focus on Present and Future Options.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LANADELUMAB-FLYO,regulatory / label-adjacent literature (Europe PMC),40600700,PMC12417757,2025,Characterizing the Healthcare Utilization and Costs of Hereditary Hemorrhagic Telangiectasia.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LANADELUMAB-FLYO,regulatory / label-adjacent literature (Europe PMC),35079346,PMC8764638,2022,Reviewing clinical considerations and guideline recommendations of C1 inhibitor prophylaxis for hereditary angioedema.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LANADELUMAB-FLYO,regulatory / label-adjacent literature (Europe PMC),41378112,PMC12686231,2025,Developing high-concentration monoclonal antibody formulations for subcutaneous administration to improve patient treatment.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LANADELUMAB-FLYO,regulatory / label-adjacent literature (Europe PMC),32127360,PMC7111489,2020,Pediatric Orphan Drug Indications: 2010-2018.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LANADELUMAB-FLYO,regulatory / label-adjacent literature (Europe PMC),30516432,PMC6380461,2019,Antibodies to watch in 2019.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LANADELUMAB-FLYO,regulatory / label-adjacent literature (Europe PMC),31103566,PMC6857728,2019,The impact of the Orphan Drug Act on Food and Drug Administration-approved therapies for rare skin diseases and skin-related cancers.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
LANADELUMAB-FLYO,regulatory / label-adjacent literature (Europe PMC),32779201,PMC7436618,2020,Immunomodulatory Therapeutic Proteins in COVID-19: Current Clinical Development and Clinical Pharmacology Considerations.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),42315414,,2026,Safety and efficacy of elexacaftor/tezacaftor/ivacaftor in children ≥2 years with cystic fibrosis: 96-week interim results from a phase 3 open-label extension study.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),41599906,PMC12844636,2026,Real-World Evidence of Growth Improvement in Children 1 to 5 Years of Age Receiving Enteral Formula Administered Through an Immobilized Lipase Cartridge.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),41744676,PMC12937645,2026,Beyond BMI: Nutritional Recovery and Functional Implications of CFTR Modulators in Cystic Fibrosis.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),41487693,PMC12759121,2026,Repurposing of ivacaftor shows potential to treat ROR1 expressing high-grade serous ovarian cancer.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),42170795,PMC13239390,2026,Physiologically Based Pharmacokinetic Modeling of Elexacaftor/Tezacaftor/Ivacaftor in Infants With Cystic Fibrosis.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),39173175,,2024,"Long-Term Impact of Lumacaftor/Ivacaftor Treatment on Cystic Fibrosis Disease Progression in Children 2-5 Years of Age Homozygous for &lt;i&gt;F508del-CFTR&lt;/i&gt;: A Phase 2, Open-Label Clinical Trial.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),41976926,PMC13072773,2026,Prenatal Elexacaftor/Tezacaftor/Ivacaftor for Fetal Meconium Ileus: First Italian Case and Narrative Overview of the Emerging Evidence.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),41381809,PMC12701019,2025,Reflection confocal microscopy for quantitative assessment of airway surface layer dysregulation and pharmacological rescue in cystic fibrosis under near-physiological conditions.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),41814527,PMC13159788,2026,Improved Quality of Life in Children With Cystic Fibrosis Who Received Transmembrane Conductance Regulator Modulators.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),40540670,PMC12393130,2025,Clinical Effectiveness of Elexacaftor/Tezacaftor/Ivacaftor in 6- to 11-Year-Olds with Cystic Fibrosis: An Observational Study.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),40511640,PMC12464662,2025,Real-world population pharmacokinetics of tezacaftor-ivacaftor in children with cystic fibrosis: The SYM-CF study.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
IVACAFTOR,regulatory / label-adjacent literature (Europe PMC),41895691,PMC13297063,2026,Updates in Cystic Fibrosis Bone Disease in Adults.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),,PMC13226013,,Treatment with long-acting growth hormone: effectiveness and safety,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),42041619,PMC13114597,2026,Aggrecanopathy as an Underrecognized Cause of Idiopathic Short Stature: The Importance of Early Genetic Confirmation for Timely Diagnosis and Management-Case Reports and Literature Review.,False,True,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),41245778,PMC12615308,2025,The decline in the physical stature of the U.S. population parallels the diminution in the rate of increase in life expectancy.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),41612385,PMC12930758,2026,"Rhodotorula mucilaginosa ZTHY2 as a promising antibiotic alternative in Leizhou black ducks: impact on growth, meat quality, intestinal health, and microbiota composition.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),41710423,PMC12910344,2026,The kidney in genetic metabolic disorders.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),41247754,PMC12624480,2026,Once-Weekly Navepegritide in Children With Achondroplasia: The APPROACH Randomized Clinical Trial.,True,True,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),42060357,PMC13225337,2026,"Anti-vascular endothelial growth factor therapy for posterior segment diseases: Progress, challenges, and the road ahead.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),42176955,PMC13276575,2026,A Systematic Review to Reassess the Formula for Early Life Growth.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),41828386,PMC12984754,2026,Changes in Metabolism and Lipid Composition with Nitrogen Starvation and Recovery in a New Productive Strain of &lt;i&gt;Neochlorella semenenkoi&lt;/i&gt; Using N&lt;sup&gt;15&lt;/sup&gt;-Isotopic Labeling and HRMS.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),41860100,,2026,Protein Melting Biosensors for Label-Free and Self-Reporting of Iron-Binding Proteins and Iron Ion.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),,,2026,Optimising recovery from childhood moderate acute malnutrition: a randomized controlled trial,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
AMINO ACIDS,regulatory / label-adjacent literature (Europe PMC),41978621,PMC13070365,2026,Processed meat in the diet: general nutritional profile-protein quality and micronutrients.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE AMYLASE,regulatory / label-adjacent literature (Europe PMC),40308779,PMC12040929,2025,Drug-induced pancreatitis: a real-world analysis of the FDA Adverse Event Reporting System and network pharmacology.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE AMYLASE,regulatory / label-adjacent literature (Europe PMC),38004421,PMC10675618,2023,A Critical Analysis of the FDA's Omics-Driven Pharmacodynamic Biomarkers to Establish Biosimilarity.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),40883423,PMC12397352,2025,Simulation of drug transport in airway surface liquid considering mucus flow and ciliary interaction.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),40448444,PMC12380133,2025,To Study the Safety and Efficacy of Fixed Dose Combination of Indacaterolmaleate 110 µg + Glycopyrrinium 50 µg versus Tiotropium 9 µg + Formoterol 12 µg in Patients with Chronic Obstructive Airway Disease.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),41092835,PMC12552536,2025,Identification of Drugs Associated With Oral Ulcers Based on Pharmacovigilance.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),36609681,PMC9818053,2023,Isocratic ion pair chromatography for estimation of novel combined inhalation therapy that blocks coronavirus replication in chronic asthmatic patients.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),39224646,PMC11367245,2024,FDA-approved drugs containing dimethylamine pharmacophore: a review of the last 50 years.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),41244264,PMC12619625,2025,Research Trends in Chronic Obstructive Pulmonary Disease (2005-2024): From Drug Therapy to Comprehensive Rehabilitation Strategies.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),41939843,PMC13044017,2026,Oxidative stress driven airway mesenchymal reprogramming in asthma: mechanistic insights and evidence from botanical drug formulations.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),34895321,PMC8666101,2021,Tiotropium bromide as adjunct therapy in children with asthma: a clinical experience.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),41003533,PMC12474130,2025,"Bioorganic Chemistry, Toxinology, and Pharmaceutical Uses of &lt;i&gt;Datura&lt;/i&gt; Metabolites and Derivatives.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),39767557,PMC11673829,2024,Drug-Induced Pulmonary Fibrosis: National Database Analysis.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),37636901,PMC10454752,2023,Cost-Effectiveness of Single-Inhaler Triple Therapy (FF/UMEC/VI) versus Tiotropium Monotherapy in Patients with Symptomatic Moderate-to-Very Severe COPD in the UK.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
TIOTROPIUM BROMIDE,regulatory / label-adjacent literature (Europe PMC),37179838,PMC10170765,2023,Real-world effects of once-daily inhaled steroid (fluticasone furoate) combined with long-acting beta-2 agonist (vilanterol) and long-acting muscarinic antagonist (umeclidinium) on lung function tests of asthma patients ,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),40476119,PMC12138728,2025,Successful Treatment of a Very Low-Birth-Weight Infant With GATA6 Neonatal Diabetes Using Continuous Subcutaneous Insulin Infusion.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),39796104,PMC11719925,2024,The Regulatory Role of Pancreatic Enzymes in the Maintenance of Small Intestinal Structure and Enterocyte Turnover with Special Reference to Alpha Amylase.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),42122957,PMC13164347,2026,Pancreatic Cancer in the Holobiont and Therapeutic Targets: A Review.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),42237901,PMC13236571,2026,The expanding role of protease therapeutics (2012-2026): from replacement therapies to immune system modulation and beyond.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),40308779,PMC12040929,2025,Drug-induced pancreatitis: a real-world analysis of the FDA Adverse Event Reporting System and network pharmacology.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),32761612,PMC8094413,2020,Pancreatic enzyme replacement therapy for people with cystic fibrosis.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),35405954,PMC9003370,2022,Pancreatic Enzyme Replacement Therapy in Cystic Fibrosis.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),39581957,PMC11649715,2024,Pharmacokinetics of Omadacycline in Adults with Cystic Fibrosis.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),39957820,PMC11826153,2025,Emerging trends in the cystatin C sensing technologies: towards better chronic kidney disease management.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),36835410,PMC9967120,2023,Rapid Whole Genome Sequencing Diagnoses and Guides Treatment in Critically Ill Children in Belgium in Less than 40 Hours.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),37915439,PMC10616154,2023,What is integrative medicine? Establishing the decision criteria for an operational definition of integrative medicine for general practice health services research in Australia.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
PANCRELIPASE,regulatory / label-adjacent literature (Europe PMC),31171887,PMC6543241,2019,Contribution of pancreatic enzyme replacement therapy to survival and quality of life in patients with pancreatic exocrine insufficiency.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),42125475,PMC13159593,2026,Use of intravenous antibiotics for the management of suspected chorioamnionitis: insights from women's wellness and research center.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),42153127,PMC13180319,2026,Assessment of the Biological Effect of Oral Ginkgolic Acid Liposome Nanoparticles for Treating Refractory &lt;i&gt;Helicobacter pylori&lt;/i&gt; Infection.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),42041358,PMC13113963,2026,Open-Label Prospective Randomized Comparative Study of the Efficacy and Safety of Gentamicin in Comparison to Other Antibiotics in the Management of Acute Appendicitis in Surgically Treated Patients.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),41617848,PMC12913619,2026,Combined effects of nitrate and antimicrobial compounds on in vitro subgingival biofilms.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),41973419,PMC13077511,2026,β-Lactam vs Non-β-Lactam Prophylaxis in Elective Colorectal Surgery.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),41387649,PMC12936268,2026,Exploring New Dimensions in Longitudinal Rosacea Management.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),42008044,PMC13095914,2026,Antibiotic resistance in odontogenic infections: A systematic review of current evidence and implications for guideline-based therapy.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),40417432,PMC12099261,2025,Comparative Evaluation of Fluoride Release/Uptake and Physical Properties of Self-adhesive GC Gold Label Hybrid and Antibiotic-modified Glass Ionomer Cement: An &lt;i&gt;In Vitro&lt;/i&gt; Study.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),42327683,PMC13277441,2026,Decolonisation of a multi-drug-resistant &lt;i&gt;Escherichia coli&lt;/i&gt; and a vancomycin-resistant &lt;i&gt;Enterococcus faecium&lt;/i&gt; after intervention with faecal microbiota transplantation.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),42155770,PMC13276330,2026,Microglia maintain retinal redox homeostasis following ablation of rod photoreceptors in zebrafish.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),,PMC12258450,2025,P36 Letting the cat out of the bag: delafloxacin as an oral option for the treatment of a complex wound infection,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
METRONIDAZOLE,regulatory / label-adjacent literature (Europe PMC),42022110,PMC13095748,2026,"Current landscape and challenges in anaerobic bloodstream infections: epidemiology, microbiology, and clinical management.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
FENOTEROL HYDROBROMIDE,regulatory / label-adjacent literature (Europe PMC),39192312,PMC11350986,2024,Chromatographic fingerprinting of ipratropium and fenoterol in their novel co-formulated inhaler treating major respiratory disorders; application to delivered dose uniformity testing along with greenness and whiteness a,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
FENOTEROL HYDROBROMIDE,regulatory / label-adjacent literature (Europe PMC),,,2025,High-resolution phenotypic screen in zebrafish identifies novel regulators of CNS axon diameter growth,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
FENOTEROL HYDROBROMIDE,regulatory / label-adjacent literature (Europe PMC),39136493,PMC11412782,2024,The effects of airway disease on the deposition of inhaled drugs.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
FENOTEROL HYDROBROMIDE,regulatory / label-adjacent literature (Europe PMC),35008781,PMC8745329,2021,Temporal Roles of Platelet and Coagulation Pathways in Collagen- and Tissue Factor-Induced Thrombus Formation.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
