pert_iname,primary_target,mechanism_family,role,smiles,vendor,catalog_no,expected_mass,solubility_constraint,exposure_schedule,concentration_basis,potency_nM,potency_parameter,potency_species,range_finding_low_nM,range_finding_high_nM,n_concentrations_required,primary_screen_concentration_rule,range_finding_required,note
lorlatinib,ALK,kinase,discovery compound,C[C@H]1Oc2cc(cnc2N)-c2c(CN(C)C(=O)c3ccc(F)cc13)nn(C)c2C#N,MedChemEx,HY-12215,406.155,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),0.005,pKi,Human,0.015,0.15,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
maprotiline,SLC6A2,transporter,discovery compound,CNCCC[C@@]12CC[C@@H](c3ccccc13)c1ccccc21 |r|,Tocris,935,277.183,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),1584.893,pIC50,Human,4754.679,47546.79,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
metolazone,SLC12A3,transporter,discovery compound,"C[C@H]1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O |&1:1,r|",MedChemEx,HY-B0209,365.06,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
phenylbutyrate,HDAC1,epigenetic (selective probe),discovery compound,OC(=O)CCCc1ccccc1,Tocris,2682,164.084,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
tacrolimus,FKBP1A,phosphatase,discovery compound,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC |t:45|,MedChemEx,HY-13756,803.482,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),0.398,pKi,Human,1.194,11.94,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
tazemetostat,EZH2,epigenetic (selective probe),discovery compound,CCN(C1CCOCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)-c1ccc(CN2CCOCC2)cc1,Selleck,S7128,572.336,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),10.0,pIC50,Human,30.0,300.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
trapidil,PDGFRA,kinase,discovery compound,CCN(CC)c1cc(C)nc2ncnn12,MedChemEx,HY-B1016,205.133,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
halofuginone,COL1A1,matrix remodeling,discovery compound,O[C@H]1CCCN[C@@H]1CC(=O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,EMDBio,505763-10MG,413.014,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),0.794,pEC50,Plasmodium falciparum Dd2,2.382,23.82,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
mycophenolate-mofetil,IMPDH1,phosphatase,discovery compound,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)CCC(=O)OCCN1CCOCC1,Selleck,S1501,433.21,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
pirfenidone,FURIN,growth factor / cytokine,discovery compound,Cc1ccc(=O)n(c1)-c1ccccc1,Tocris,1093,185.084,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
menadione,AOX1,phosphatase,discovery compound,CC1=CC(=O)c2ccccc2C1=O |t:1|,MicroSource,1502254,172.052,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
retinol,ALDH1A1,mechanotransduction,discovery compound,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C |c:12|,Sigma,MFCD00001552,286.23,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),19952.623,pEC50,Human,59857.869,598578.69,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
futibatinib,,growth factor / cytokine,ASSAY CONTROL ONLY - canonical pathway,COc1cc(OC)cc(c1)C#Cc1nn([C@H]2CCN(C2)C(=O)C=C)c2ncnc(N)c12,MedChemEx,HY-100818,418.175,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),1.0,pIC50,Human,3.0,30.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
abametapir,MMP9,protease,discovery compound,Cc1ccc(nc1)-c1ccc(C)cn1,Sigma,MFCD01740554,184.1,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
aloxistatin,CTSG,protease,discovery compound,CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,MedChemEx,HY-100229,342.215,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),1000.0,pIC50,Human,3000.0,30000.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
itacitinib,JAK1,kinase,discovery compound,Fc1c(ccnc1C(F)(F)F)C(=O)N1CCC(CC1)N1CC(CC#N)(C1)n1cc(cn1)-c1ncnc2[nH]ccc12,MedChemEx,HY-16997,553.196,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),5.012,pIC50,Human,15.036,150.36,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
odanacatib,CTSK,protease,discovery compound,CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,Selleck,S1115,525.171,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),0.2,pIC50,Human,0.6,6.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
omecamtiv-mecarbil,MYBPC3,mechanotransduction,discovery compound,COC(=O)N1CCN(Cc2cccc(NC(=O)Nc3ccc(C)nc3)c2F)CC1,MedChemEx,HY-14233,401.186,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
cilengitide,ITGAV,mechanotransduction,discovery compound,CC(C)[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CCCNC(N)=N)NC1=O,Selleck,S7077,588.302,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),3.162,pIC50,Human,9.486,94.86,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
pevonedistat,NAE1,ubiquitin system,discovery compound,NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12,MedChemEx,HY-10484,443.163,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
bis(maltolato)oxovanadium(IV),PTPN1,phosphatase,discovery compound,Cc1occc(=O)c1O[V](=O)Oc1c(C)occc1=O,Carbosynth,FB18735,316.987,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
CPI-0610,BRD4,epigenetic (selective probe),discovery compound,Cc1noc2[C@H](CC(N)=O)N=C(c3ccc(Cl)cc3)c3ccccc3-c12 |t:10|,MedChemEx,HY-12863,365.093,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),39.811,pIC50,Human,119.433,1194.33,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
firategrast,ITGA4,mechanotransduction,discovery compound,CCOCc1cc(OC)c(c(OC)c1)-c1ccc(C[C@H](NC(=O)c2c(F)cccc2F)C(O)=O)cc1,MedChemEx,HY-14951,499.181,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
F351,TGFB1,growth factor / cytokine,discovery compound,Cc1ccc(=O)n(c1)-c1ccc(O)cc1,Carbosynth,FH24467,201.079,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
STA-5326,IL12A,growth factor / cytokine,discovery compound,Cc1cccc(\C=N\Nc2cc(nc(OCCc3ccccn3)n2)N2CCOCC2)c1,MedChemEx,HY-14644,418.212,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),63.096,pKd,Human,189.288,1892.88,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
BMS-587101,ITGAL,mechanotransduction,discovery compound,CN1C(=O)N(C(=O)[C@]11CN(Cc2cc(cs2)C(O)=O)C[C@H]1c1ccc(cc1)C#N)c1cc(Cl)cc(Cl)c1,Key,HE-0001,554.058,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
EW-7197,ACVR1B,growth factor / cytokine,discovery compound,Cc1cccc(n1)-c1nc(CNc2ccccc2F)[nH]c1-c1ccc2ncnn2c1,Selleck,S7530,399.161,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),10.0,pIC50,Human,30.0,300.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
ATN-161,ITGA5,mechanotransduction,discovery compound,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(N)=O,MedChemEx,HY-13535A,597.233,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
JTE-607,IL10,growth factor / cytokine,discovery compound,CCOC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cl)c(OCCN2CCN(C)CC2)c(Cl)c1O,Tocris,5185,523.164,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
VLX600,TP53,ubiquitin system,discovery compound,CC(=NNc1nnc2c(n1)[nH]c1c(C)cccc21)c1ccccn1,Enamine,EN300-395210,317.139,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
hypoestoxide,IKBKB,growth factor / cytokine,discovery compound,CC(=O)O[C@@H]1C[C@]2(C)O[C@H]2CC[C@]2(C)O[C@H]2C[C@@H]2CC(=O)C(=C)[C@@H]1C2(C)C,EMD,401006-1MG,376.225,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
latrunculin-B,ACTA1,mechanotransduction,discovery compound,"C[C@H]1CC[C@@H]2C[C@H](C[C@@](O)(O2)[C@@H]2CSC(=O)N2)OC(=O)\C=C(C)/CC\C=C/1 |c:27,t:22|",EMD,428020-1MG,395.177,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
alexidine,PTPMT1,phosphatase,discovery compound,"CCCC[C@H](CC)CNC(=N)N=C(N)NCCCCCCNC(N)=NC(=N)NC[C@H](CC)CCCC |&1:29,&2:4,&3:11,&4:24,w:11.10,24.24|",Selleck,S4302,508.469,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
AS-1949490,INPP5D,phosphatase,discovery compound,C[C@H](NC(=O)c1sccc1OCc1ccc(Cl)cc1)c1ccccc1,Tocris,3718,371.075,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),630.957,pIC50,Human,1892.871,18928.71,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
DG-172,PPARD,nuclear receptor,discovery compound,CN1CCN(CC1)c1ccc(\C=C(/C#N)c2ccccc2Br)cc1,Tocris,5566,381.084,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
FGIN-1-27,TSPO,phosphatase,discovery compound,CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1,Tocris,658,436.289,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
IU1,USP14,ubiquitin system,discovery compound,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,Selleck,S7134,300.164,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),5011.872,pIC50,Human,15035.616,150356.16,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
NAB-2,NEDD4,ubiquitin system,discovery compound,Cc1ccc(C)c(c1)-n1cnc2cc(ccc12)C(=O)NCc1ccccc1Cl,Tocris,5131,389.129,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
SMER-28,SNCA,lysosomal / autophagy,discovery compound,Brc1ccc2ncnc(NCC=C)c2c1,Sigma,S8197,263.006,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
SP-141,MDM2,ubiquitin system,discovery compound,COc1ccc2[nH]c3c(nccc3c2c1)-c1cccc2ccccc12,Tocris,5332,324.126,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
GS-143,BTRC,ubiquitin system,discovery compound,OC(=O)c1ccc(cc1)N1N=C(Cc2ccccc2)\C(=C/c2ccc(o2)-c2ccccc2F)C1=O |t:11|,Tocris,5636,466.133,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
GW-3965,NR1H2,nuclear receptor,discovery compound,OC(=O)Cc1cccc(OCCCN(CC(c2ccccc2)c2ccccc2)Cc2cccc(c2Cl)C(F)(F)F)c1,Tocris,2474,581.194,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),199.526,pEC50,Human,598.578,5985.78,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
spautin-1,USP10,ubiquitin system,discovery compound,Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1,Tocris,5197,271.092,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
T-0901317,NCOA1,nuclear receptor,discovery compound,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F,Tocris,2373,481.039,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),50.119,pEC50,Human,150.357,1503.57,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
pralmorelin,,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,C[C@@H](N)C(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,Sigma,SML2056,817.428,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),0.501,pKi,Rat,1.503,15.03,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
glasdegib,SMO,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,CN1CC[C@H](C[C@@H]1c1nc2ccccc2[nH]1)NC(=O)Nc1ccc(cc1)C#N,MedChemEx,HY-16391,374.186,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),5.012,pIC50,Human,15.036,150.36,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
