arm,agent,direction,endpoint_tier,endpoint,method,unit,applicable,note,concentration_basis
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,True,the PAPP-A2 substrates. Measured separately from IGFBP-4 because the two enzymes are not interchangeable,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the proximal readout of the axis mechanism; free, not total, because total IGF is what the binding proteins hold and is not the active pool",RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,shows the released ligand actually reached and activated its receptor in this tissue,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,the downstream node; a p-IGF1R change without a p-AKT change means the signal did not propagate,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,stage 66 established that this is measurable to ICC 0.993 and that 2D area is not a substitute,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,2,terminal cell height-to-width ratio,as above,dimensionless,True,separates axial elongation from isotropic swelling. Swelling is not useful elongation,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,2,hypertrophic zone height,axis-registered confocal,micrometres,True,zone-level correlate of the cell-level measure,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,2,number of active proliferative columns,axis-registered confocal,count per section,True,elongation is columns x cells per column x axial contribution per cell; a change in one term is not a change in the product,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,2,cells per proliferative column,axis-registered confocal,count,True,the second term of the same product,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,distinguishes a longer plate built by more cell divisions from one built by bigger terminal cells - different mechanisms with different ceilings,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,"a plate that elongates because terminal cells fail to die on schedule is not the same result, and would predict a different plateau",RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,axial elongation requires matrix to occupy the new volume; a length gain without it predicts a mechanically weak plate,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,the actual output. Cell shape without a length gain is not a result,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,distinguishes faster growth from earlier growth. A plate that grows faster and stops sooner has not gained final length,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,separates a persistent change in plate behaviour from a transient one that reverses the moment the agent leaves,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF-I benchmark,recombinant IGF-I,saturate the pathway's output directly,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,"a length gain bought with a disorganised plate is dysplasia, which the brief excludes",RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,2,terminal cell height-to-width ratio,as above,dimensionless,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,2,hypertrophic zone height,axis-registered confocal,micrometres,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,2,number of active proliferative columns,axis-registered confocal,count per section,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,2,cells per proliferative column,axis-registered confocal,count,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",block the axis's output,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,"read as a difference from the STC2 arm, not on its own. If blockade does NOT abolish the STC2 effect, the attributed mechanism is wrong",RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,2,terminal cell height-to-width ratio,as above,dimensionless,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,2,hypertrophic zone height,axis-registered confocal,micrometres,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,2,number of active proliferative columns,axis-registered confocal,count per section,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,2,cells per proliferative column,axis-registered confocal,count,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,WRONG DIRECTION - deliberately,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,2,terminal cell height-to-width ratio,as above,dimensionless,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,2,hypertrophic zone height,axis-registered confocal,micrometres,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,2,number of active proliferative columns,axis-registered confocal,count per section,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,2,cells per proliferative column,axis-registered confocal,count,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,WRONG DIRECTION - deliberately,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,expected direction is OPPOSITE. A null here weakens the axis as much as a null in the forward arms,RANGE_UNDETERMINED
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,True,a negative result without penetration is uninterpretable - this is not optional,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,True,penetration is not engagement; the agent may reach the zone and not bind the target there,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,False,IGFBP cleavage is not this arm's mechanism; its proximal readout is CNP and cGMP,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,False,IGFBP cleavage is not this arm's mechanism; its proximal readout is CNP and cGMP,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,False,IGFBP cleavage is not this arm's mechanism; its proximal readout is CNP and cGMP,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,shows the released ligand actually reached and activated its receptor in this tissue,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,the downstream node; a p-IGF1R change without a p-AKT change means the signal did not propagate,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,stage 66 established that this is measurable to ICC 0.993 and that 2D area is not a substitute,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,2,terminal cell height-to-width ratio,as above,dimensionless,True,separates axial elongation from isotropic swelling. Swelling is not useful elongation,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,2,hypertrophic zone height,axis-registered confocal,micrometres,True,zone-level correlate of the cell-level measure,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,2,number of active proliferative columns,axis-registered confocal,count per section,True,elongation is columns x cells per column x axial contribution per cell; a change in one term is not a change in the product,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,2,cells per proliferative column,axis-registered confocal,count,True,the second term of the same product,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,distinguishes a longer plate built by more cell divisions from one built by bigger terminal cells - different mechanisms with different ceilings,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,"a plate that elongates because terminal cells fail to die on schedule is not the same result, and would predict a different plateau",RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,axial elongation requires matrix to occupy the new volume; a length gain without it predicts a mechanically weak plate,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,the actual output. Cell shape without a length gain is not a result,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,distinguishes faster growth from earlier growth. A plate that grows faster and stops sooner has not gained final length,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
